episode_id,family_id,case_id,rollout_seed,model_id,return_controller_id,regrasp_invocations,notes,dest,regrasp_confirmed,attempt1,nret,need,case_pass,hard_ok,regrasp_time,n_attempts
P1V6RG1_980104_G2_LOSS_REGRASP_RETURN_P80_98110401_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G2_LOSS_REGRASP_RETURN_P80,98110401,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G2_LOSS_REGRASP_RETURN_P80/rollout_00,True,True,1,1,True,True,2.5799999999997163,1
P1V6RG1_980104_G3_THREE_REGRASP_RETURN_P40_98110402_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G3_THREE_REGRASP_RETURN_P40,98110402,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,3,"[""cycles_complete=3""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G3_THREE_REGRASP_RETURN_P40/rollout_00,True,True,3,3,True,True,1.8199999999989913,3
P1V6RG1_980104_G4_THREE_REGRASP_RETURN_P80_98110403_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G4_THREE_REGRASP_RETURN_P80,98110403,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,3,"[""cycles_complete=3""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G4_THREE_REGRASP_RETURN_P80/rollout_00,True,True,3,3,True,True,2.560000000000855,3
P1V6RG1_980104_G5_HIGH_RESIDUAL_SPEED_P40_98110404_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G5_HIGH_RESIDUAL_SPEED_P40,98110404,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G5_HIGH_RESIDUAL_SPEED_P40/rollout_00,False,False,0,1,False,True,,1
P1V6RG1_980104_G6_LOW_FRICTION_LONG_SLIDE_P80_98110405_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G6_LOW_FRICTION_LONG_SLIDE_P80,98110405,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G6_LOW_FRICTION_LONG_SLIDE_P80/rollout_00,True,True,1,1,True,True,2.5799999999997163,1
P1V6RG1_980104_G7_NO_LOSS_INITIAL_GRASP_CONTROL_98110406_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G7_NO_LOSS_INITIAL_GRASP_CONTROL,98110406,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G7_NO_LOSS_INITIAL_GRASP_CONTROL/rollout_00,False,False,1,1,True,True,,0
P1V6RG1_980104_G8_COMMANDED_RELEASE_NO_REGRASP_98110407_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G8_COMMANDED_RELEASE_NO_REGRASP,98110407,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,"[""closed_loop_regrasp_not_started""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G8_COMMANDED_RELEASE_NO_REGRASP/rollout_00,False,False,0,1,True,True,,0
P1V6RG1_980105_G1_LOSS_REGRASP_RETURN_P40_98110500_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980105,G1_LOSS_REGRASP_RETURN_P40,98110500,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980105/G1_LOSS_REGRASP_RETURN_P40/rollout_00,True,True,1,1,True,True,2.419999999999734,1
P1V6RG1_980105_G2_LOSS_REGRASP_RETURN_P80_98110501_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980105,G2_LOSS_REGRASP_RETURN_P80,98110501,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980105/G2_LOSS_REGRASP_RETURN_P80/rollout_00,True,True,1,1,True,True,2.119999999999767,1
P1V6RG1_980105_G3_THREE_REGRASP_RETURN_P40_98110502_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980105,G3_THREE_REGRASP_RETURN_P40,98110502,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,3,"[""cycles_complete=3""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980105/G3_THREE_REGRASP_RETURN_P40/rollout_00,True,True,3,3,True,True,1.65999999999908,3
