artifact_id,status,reason,n_observations,n_actions,n_transitions
transport_recovery__controlled_failure__037,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__038,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__039,canonicalized,actual_applied,7,7,6
transport_recovery__drop_regrasp__000,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__001,canonicalized,actual_applied,19,19,18
transport_recovery__drop_regrasp__002,canonicalized,actual_applied,17,17,16
transport_recovery__drop_regrasp__003,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__004,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__005,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__006,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__007,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__008,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__009,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__010,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__011,canonicalized,actual_applied,19,19,18
transport_recovery__drop_regrasp__012,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__013,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__014,canonicalized,actual_applied,19,19,18
transport_recovery__drop_regrasp__015,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__016,canonicalized,actual_applied,20,20,19
transport_recovery__drop_regrasp__017,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__018,canonicalized,actual_applied,17,17,16
transport_recovery__drop_regrasp__019,canonicalized,actual_applied,17,17,16
transport_recovery__drop_regrasp__020,canonicalized,actual_applied,20,20,19
transport_recovery__drop_regrasp__021,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__022,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__023,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__024,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__025,canonicalized,actual_applied,20,20,19
transport_recovery__drop_regrasp__026,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__027,canonicalized,actual_applied,20,20,19
transport_recovery__drop_regrasp__028,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__029,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__030,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__031,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__032,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__033,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__034,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__035,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__036,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__037,canonicalized,actual_applied,20,20,19
transport_recovery__drop_regrasp__038,canonicalized,actual_applied,17,17,16
transport_recovery__drop_regrasp__039,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__040,canonicalized,actual_applied,17,17,16
transport_recovery__drop_regrasp__041,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__042,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__043,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__044,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__045,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__046,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__047,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__048,canonicalized,actual_applied,20,20,19
transport_recovery__drop_regrasp__049,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__050,canonicalized,actual_applied,17,17,16
transport_recovery__drop_regrasp__051,canonicalized,actual_applied,17,17,16
transport_recovery__drop_regrasp__052,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__053,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__054,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__055,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__056,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__057,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__058,canonicalized,actual_applied,18,18,17
transport_recovery__drop_regrasp__059,canonicalized,actual_applied,18,18,17
transport_recovery__gripper_reopen__000,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__001,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__002,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__003,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__004,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__005,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__006,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__007,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__008,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__009,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__010,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__011,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__012,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__013,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__014,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__015,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__016,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__017,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__018,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__019,canonicalized,actual_applied,15,15,14
