state_hash,condition,profile,expert_action,expert_geom_rank,expert_graph_rank,reference
002245d4b7cda27461c3c6a95a848c0cba62d9e2dbfa4c807f92231194e31c61,TWO_LOSSES,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00225159cc4dc3a94bb841e631ed96f070b515a8ac3e1ea341dd6eac23f54491,A_STARTED,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0025877d11671038cce292cc6bc7396730ccf491fa751815d6af411d96fcce8a,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
01459dcf3fb03c4f40cc6fe0c1617175c2822d2fb032502bac86a830b14cf92d,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0026a10ae36b6a3da89f0d6c3038b10c912ca495da039852af218e26874bafce,LATE_LOSS,BASE64,START_RECOVERY_B,11,11,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00276cab8b28f189a9a889235890268a58243bd160bd2d6d54b6f10e29002ec8,B_VALID_A_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0027c84669f6a5b3c366a34443bd6dcd2749aa70f4913154f5621c41f78faae7,FREE_ORDER,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00289eeb1c06f910fc7f10a2af3834e842bf820ea5fa309ac8b9a858bc3e4682,FREE_ORDER,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00502f8e35485609167b1c110565009a9f85d273d3efc91d28ab712a300275a7,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00294ea1e61904d5f9b3358de89015f71098d59cb949c525edd0e28abd0dd953,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002a41db720552f5d675c32e872128569df071a451f31aec181c450111912887,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002a4dae3975a055671af5d1be9c576a6c03f33c33d42ecff0190cafd78b9de8,A_STARTED,BASE64,PLACE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002aab5850564bae67ac8013555f8421f85a58f886e8a0e4bd1dc5ad5f6096d3,B_STARTED,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002ac40270074ca4b2793af95e6614c351b80546db8d7939970ed8d8e0799fec,TWO_LOSSES,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00d74b58c117e862ae53843cb51c640cb135a5141a0d8682ba54726e62e50f01,TWO_LOSSES,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00ab43b006de6bfd7c6e36eacbd5f9c7cadd1c4ae658ec3e12158d352effa441,LATE_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002b2ab7b3de64bb8de2c419ffa38a3e71ee882e4465e7b9e48f323706fe7c68,LATE_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00abccc8a42820b0af34a9a73233389c87fec74c268aa45f4bb6e6d638d8ff2a,LATE_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002b5a06616bce2530f50c22d2a599ccbfd8779cd78354ca366014e81068d040,TWO_LOSSES,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002cd46afa94110362d7510a0cb29b034ced54aecfd2e597927d631817f0984d,FREE_ORDER,LONG_CHAIN128,PLACE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002e86b12b5b8b6d89bcf53f81b29501692e47b74ab67ca67b0823ed024d1fc9,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002ec7f8a16895453ae9045751a6d93e4e68acbee4da48c971338f1b30c86b9b,FREE_ORDER,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0030d6b44a7521fa0536108e5abb484c5e06b7a76affa0192805c3257fd32dad,A_VALID_B_LOSS,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0030dfffac3d8b6a4335f4942b523502525f722cb46a1fe12e1f82c416be14b9,TWO_LOSSES,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
