method,policy_seed,checkpoint_step,path,exists,bytes,sha256,is_final
COUNT_PBRS,227,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_227/policy_131072.zip,True,546210,7ad7646153946062f29881bf2e9808c0cc3ee5a14cdb705a92d3395c7edfe868,False
COUNT_PBRS,227,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_227/policy_262144.zip,True,546212,44970857e9116f48a16c0ed9e5f8c1ef43d9c6fcc5ad673ab26279af723fed88,False
COUNT_PBRS,227,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_227/policy_524288.zip,True,546212,40cf9716a357bcf9359507ada417092e68604c52efc11821a11156f248ab33f9,True
COUNT_PBRS,229,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_229/policy_0.zip,True,191552,d3a45f1cfc337b7a60c44ce4820e443a156efeea98cfe2633db754f4dc92c7f0,False
COUNT_PBRS,229,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_229/policy_32768.zip,True,546204,313e119d6989fe0b97ce6411d06f2d81f0cabcfef129b56adc6c4a6434ba4dd3,False
COUNT_PBRS,229,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_229/policy_65536.zip,True,546208,40b5ef0c9645320975fbe07c75edb8cd67241de69389cf60931446fe42aa282a,False
COUNT_PBRS,229,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_229/policy_131072.zip,True,546210,70f269097bcd5796ff16421da8f5818fee0eb1759e09503873ff97d4e4caa8f2,False
COUNT_PBRS,229,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_229/policy_262144.zip,True,546212,2cf8e58774e909de2cca899a88c6a9f81431d23f317d9de8d20358ffcf5d5303,False
COUNT_PBRS,229,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_229/policy_524288.zip,True,546212,381bb6e49ad5af42b6cbc11559b477f4c483328bdbc1cae5ae90891d3e8d16e5,True
COUNT_PBRS,233,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_233/policy_0.zip,True,191552,99676e5f3fa5c04ff277864b6b0b04c11e9ebae67575bfdf305adcbd37230a80,False
COUNT_PBRS,233,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_233/policy_32768.zip,True,546204,fc399bc316f65c58f8aae5405320fea4c50499c0583282c38fd88389a7941980,False
COUNT_PBRS,233,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_233/policy_65536.zip,True,546208,c8daa7254ca7906721e4b11e6d6dfe6e9b2792846b06bd99f9399afaf6072b5c,False
COUNT_PBRS,233,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_233/policy_131072.zip,True,546210,0d7578500ec10b0419785562e85c0bdc975a6b60858f7c073bcfd769d223dca6,False
COUNT_PBRS,233,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_233/policy_262144.zip,True,546212,1668c485140b727a4fe9bb510a22e0311463859212ac7e16088d75c342bc4454,False
COUNT_PBRS,233,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_233/policy_524288.zip,True,546212,3bb216db69642f1f79a1b0d96d6d382c683ec76006dbeb88e02cafc1041638af,True
COUNT_PBRS,239,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_239/policy_0.zip,True,191552,3f5627e539a82bcb46bf95a7c05e42088f0b5bbdbc00175270e6324d5cc214b0,False
COUNT_PBRS,239,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_239/policy_32768.zip,True,546204,263dee9dccd8916b6846c291ac7534f5efc6befb5d84c84dd15547e82cdf5b6d,False
COUNT_PBRS,239,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_239/policy_65536.zip,True,546208,b78719fba59d9e23ccf52e0bd09d0a338f66e11546c2cc4aad4f3d705b07e347,False
COUNT_PBRS,239,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_239/policy_131072.zip,True,546210,2ea520a714d7a26c327b9a9853fdbc3fc3b53afa389f85fd80326bde36c941d4,False
