method,policy_seed,condition,profile,successes,episodes,success_rate
GEOM_COUNT_EVENTS_PBRS,239,B_STARTED,BASE64,16,128,0.125
GEOM_COUNT_EVENTS_PBRS,239,B_STARTED,LONG_CHAIN128,0,128,0.0
GEOM_COUNT_EVENTS_PBRS,239,B_VALID_A_LOSS,BASE64,4,128,0.03125
GEOM_COUNT_EVENTS_PBRS,239,B_VALID_A_LOSS,LONG_CHAIN128,0,128,0.0
GEOM_COUNT_EVENTS_PBRS,239,FREE_ORDER,BASE64,16,128,0.125
GEOM_COUNT_EVENTS_PBRS,239,FREE_ORDER,LONG_CHAIN128,0,128,0.0
GEOM_COUNT_EVENTS_PBRS,239,INVALIDATE_FIRST,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,239,INVALIDATE_FIRST,LONG_CHAIN128,124,128,0.96875
GEOM_COUNT_EVENTS_PBRS,239,LATE_LOSS,BASE64,124,128,0.96875
GEOM_COUNT_EVENTS_PBRS,239,LATE_LOSS,LONG_CHAIN128,116,128,0.90625
GEOM_COUNT_EVENTS_PBRS,239,TWO_LOSSES,BASE64,80,128,0.625
GEOM_COUNT_EVENTS_PBRS,239,TWO_LOSSES,LONG_CHAIN128,84,128,0.65625
GRAPH_COST_PBRS,211,A_STARTED,BASE64,92,128,0.71875
GRAPH_COST_PBRS,211,A_STARTED,LONG_CHAIN128,84,128,0.65625
GRAPH_COST_PBRS,211,A_VALID_B_LOSS,BASE64,96,128,0.75
GRAPH_COST_PBRS,211,A_VALID_B_LOSS,LONG_CHAIN128,76,128,0.59375
GRAPH_COST_PBRS,211,B_STARTED,BASE64,128,128,1.0
GRAPH_COST_PBRS,211,B_STARTED,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,211,B_VALID_A_LOSS,BASE64,128,128,1.0
GRAPH_COST_PBRS,211,B_VALID_A_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,211,FREE_ORDER,BASE64,128,128,1.0
GRAPH_COST_PBRS,211,FREE_ORDER,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,211,INVALIDATE_FIRST,BASE64,84,128,0.65625
GRAPH_COST_PBRS,211,INVALIDATE_FIRST,LONG_CHAIN128,73,128,0.5703125
GRAPH_COST_PBRS,211,LATE_LOSS,BASE64,128,128,1.0
GRAPH_COST_PBRS,211,LATE_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,211,TWO_LOSSES,BASE64,128,128,1.0
GRAPH_COST_PBRS,211,TWO_LOSSES,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,223,A_STARTED,BASE64,124,128,0.96875
GRAPH_COST_PBRS,223,A_STARTED,LONG_CHAIN128,112,128,0.875
GRAPH_COST_PBRS,223,A_VALID_B_LOSS,BASE64,124,128,0.96875
GRAPH_COST_PBRS,223,A_VALID_B_LOSS,LONG_CHAIN128,124,128,0.96875
GRAPH_COST_PBRS,223,B_STARTED,BASE64,128,128,1.0
GRAPH_COST_PBRS,223,B_STARTED,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,223,B_VALID_A_LOSS,BASE64,128,128,1.0
GRAPH_COST_PBRS,223,B_VALID_A_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,223,FREE_ORDER,BASE64,124,128,0.96875
GRAPH_COST_PBRS,223,FREE_ORDER,LONG_CHAIN128,112,128,0.875
GRAPH_COST_PBRS,223,INVALIDATE_FIRST,BASE64,124,128,0.96875
GRAPH_COST_PBRS,223,INVALIDATE_FIRST,LONG_CHAIN128,112,128,0.875
GRAPH_COST_PBRS,223,LATE_LOSS,BASE64,116,128,0.90625
GRAPH_COST_PBRS,223,LATE_LOSS,LONG_CHAIN128,100,128,0.78125
GRAPH_COST_PBRS,223,TWO_LOSSES,BASE64,120,128,0.9375
GRAPH_COST_PBRS,223,TWO_LOSSES,LONG_CHAIN128,104,128,0.8125
GRAPH_COST_PBRS,227,A_STARTED,BASE64,104,128,0.8125
GRAPH_COST_PBRS,227,A_STARTED,LONG_CHAIN128,76,128,0.59375
GRAPH_COST_PBRS,227,A_VALID_B_LOSS,BASE64,128,128,1.0
GRAPH_COST_PBRS,227,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,227,B_STARTED,BASE64,108,128,0.84375
GRAPH_COST_PBRS,227,B_STARTED,LONG_CHAIN128,92,128,0.71875
GRAPH_COST_PBRS,227,B_VALID_A_LOSS,BASE64,116,128,0.90625
GRAPH_COST_PBRS,227,B_VALID_A_LOSS,LONG_CHAIN128,100,128,0.78125
GRAPH_COST_PBRS,227,FREE_ORDER,BASE64,104,128,0.8125
GRAPH_COST_PBRS,227,FREE_ORDER,LONG_CHAIN128,76,128,0.59375
GRAPH_COST_PBRS,227,INVALIDATE_FIRST,BASE64,88,128,0.6875
GRAPH_COST_PBRS,227,INVALIDATE_FIRST,LONG_CHAIN128,56,128,0.4375
GRAPH_COST_PBRS,227,LATE_LOSS,BASE64,100,128,0.78125
GRAPH_COST_PBRS,227,LATE_LOSS,LONG_CHAIN128,76,128,0.59375
GRAPH_COST_PBRS,227,TWO_LOSSES,BASE64,76,128,0.59375
GRAPH_COST_PBRS,227,TWO_LOSSES,LONG_CHAIN128,52,128,0.40625
GRAPH_COST_PBRS,233,A_STARTED,BASE64,88,128,0.6875
GRAPH_COST_PBRS,233,A_STARTED,LONG_CHAIN128,84,128,0.65625
GRAPH_COST_PBRS,233,A_VALID_B_LOSS,BASE64,104,128,0.8125
GRAPH_COST_PBRS,233,A_VALID_B_LOSS,LONG_CHAIN128,100,128,0.78125
GRAPH_COST_PBRS,233,B_STARTED,BASE64,108,128,0.84375
GRAPH_COST_PBRS,233,B_STARTED,LONG_CHAIN128,100,128,0.78125
GRAPH_COST_PBRS,233,B_VALID_A_LOSS,BASE64,128,128,1.0
