method_id,input_tier,rollout_id,root_family_id,case_id,expected_action,selected_action,selected_time,decision_window_start,decision_window_end,outcome,shared_geometry_source,physical_label_status
O_B2,O,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,,0.65,1.15,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,,0.65,1.15,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,,0.65,1.15,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,,0.65,1.15,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,,0.65,1.15,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,,0.8,1.3,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,,0.8,1.3,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,,0.8,1.3,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,,0.8,1.3,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,,0.8,1.3,none,True,reference_labeled
