episode_id,task,SPARSE_TERMINAL_signed,SPARSE_TERMINAL_pos,LINEAR_A_FIRST_R1_signed,LINEAR_A_FIRST_R1_pos,LINEAR_B_FIRST_R1_signed,LINEAR_B_FIRST_R1_pos,UNORDERED_VALID_COUNT_signed,UNORDERED_VALID_COUNT_pos,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_signed,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_pos,GRAPH_COST_ONLY_signed,GRAPH_COST_ONLY_pos,FULL_FROZEN_signed,FULL_FROZEN_pos,V6_CAP_POTENTIAL_signed,V6_CAP_POTENTIAL_pos,A_minus_B,v6_minus_count,v6_minus_event
P1V5_F00_920000__D1_A_then_B_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.248385306463074,0.0,-0.25,-0.25
P1V5_F00_920000__D2_B_then_A_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483853022877691,0.0,-0.25,-0.25
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5722329217418194,0.0,-0.25,-0.25
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5722266259553983,0.0,-0.25,-0.25
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,dual_order,1.0,1.0,1.0,1.3333333333333335,1.0,1.0,1.0,1.5,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.9768157066836005,0.0,-0.25,-0.25
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,dual_order,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,1.0,0.5,1.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.0825258861172655,0.3333333333333333,-0.16666666666666669,-0.16666666666666669
P1V5_F00_920000__R1_clean_transport_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.1378426616666664,1.3045093283333329,0.6666666666666666,0.9983851078979732,,-0.33333333333333337,-0.33333333333333337
P1V5_F00_920000__R2_loss_at_40pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,0.9479106096535448,1.6145772763202113,0.6666666666666667,1.5630116151261553,,-0.33333333333333326,-0.33333333333333326
P1V5_F00_920000__R3_loss_at_80pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,1.1118045063557156,1.7784711730223823,0.6666666666666667,1.628416144069446,,-0.33333333333333326,-0.33333333333333326
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,4.0,0.6666666666666667,3.0,1.580944200290208,3.9330236971147774,0.6666666666666669,3.49058355124936,,-0.33333333333333315,-0.33333333333333315
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,recovery,3.0,3.0,,,,,1.0,3.0,1.0,6.0,0.6666666666666667,3.3333333333333335,1.8652369850406134,4.582246019716995,0.6666666666666667,3.9062184424239823,,-0.33333333333333326,-0.33333333333333326
P1V5_F00_920000__R6_three_closed_cycles_then_stop,recovery,0.0,0.0,,,,,0.0,0.0,0.0,3.0,0.3333333333333334,2.5,0.9365547271944277,3.1219675573523302,0.39529937387997066,2.886897359134707,,0.39529937387997066,0.39529937387997066
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,recovery,0.0,0.0,,,,,0.0,0.0,-1.0,0.0,-0.16666666666666669,0.3333333333333333,0.02768614512065315,0.5276861451206531,-0.16666666666666669,0.3981168058584981,,-0.16666666666666669,0.8333333333333333
P1V5_F00_920000__R8_commanded_release,recovery,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.16666666666666663,,0.0,0.0
P1V5_F01_920001__D1_A_then_B_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483852795110386,0.0,-0.25,-0.25
