episode_id,family,case_id,truth,score,physical_loss_onset_ns,evidence_end_ns,first_evidence_ns,observation_ns,capture_order,baseline_ready,baseline_prefix_index,visual_available,window_valid,window_reason,window_span_ns,window_points,amplitude,radial_gain,path_length,outward_efficiency,radial_speed_per_s,theta_motion,radial_gain_threshold,outward_efficiency_threshold,blockers,gate_pass
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2100000000,45,True,19,True,True,VALID,500000000,11,0.5585046673861023,0.26234004324133475,0.9055297800878157,0.2897089074374713,0.5246800864826695,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2150000000,46,True,19,True,True,VALID,500000000,11,0.5741631502167852,0.23225665324717343,0.8474340292672493,0.2740704824515942,0.46451330649434686,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2200000000,47,True,19,True,True,VALID,500000000,11,0.7869728347266006,0.4311442584059792,0.9639307357272837,0.4472772186070836,0.8622885168119584,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2250000000,48,True,19,True,True,VALID,500000000,11,0.6378800150025405,0.28065309700366553,1.180484610197985,0.23774396936576395,0.5613061940073311,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2300000000,49,True,19,True,True,VALID,500000000,11,0.6491935228174271,0.3219716826902955,1.4501479001407005,0.22202678958405295,0.643943365380591,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2350000000,50,True,19,True,True,VALID,500000000,11,0.7316731076042317,0.3538261681894631,1.69265862584861,0.20903575167856028,0.7076523363789261,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2400000000,51,True,19,True,True,VALID,500000000,11,0.7135821349550471,0.26638332570832773,1.6393612834188784,0.16249214154477704,0.5327666514166555,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2450000000,52,True,19,True,True,VALID,500000000,11,0.7815422054240105,0.35330718506768166,1.7044947994297055,0.2072797084425791,0.7066143701353633,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2500000000,53,True,19,True,True,VALID,500000000,11,0.650163893332889,0.24649880660387663,1.8028066264413867,0.1367305860698149,0.49299761320775326,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2550000000,54,True,19,True,True,VALID,500000000,11,0.6308845606808448,0.23644694148286688,2.0655470256035904,0.11447182685844336,0.47289388296573376,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2600000000,55,True,19,True,True,VALID,500000000,11,0.6481545157289593,0.08964984834285705,2.326231545714018,0.03853866073995646,0.1792996966857141,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2650000000,56,True,19,True,True,VALID,500000000,11,0.6464502188780957,0.07228706866131052,2.3134289251801,0.031246721208728286,0.144574137322621,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2700000000,57,True,19,True,True,VALID,500000000,11,0.5380852707189219,-0.24888756400767875,2.0988788867462946,0.0,-0.4977751280153575,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2750000000,58,True,19,True,True,VALID,500000000,11,0.528384655539636,-0.10949535946290456,1.9448413910666373,0.0,-0.21899071892580912,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2800000000,59,True,19,True,True,VALID,500000000,11,0.5981115992344493,-0.051081923582977806,1.7173610695685415,0.0,-0.10216384716595561,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2850000000,60,True,19,True,True,VALID,500000000,11,0.5061241869441767,-0.22554892066005494,1.4835642781280534,0.0,-0.4510978413201099,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2900000000,61,True,19,True,True,VALID,500000000,11,0.5409892802721493,-0.17259285468289776,1.543370267493293,0.0,-0.3451857093657955,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
