budget,proportion,delete_k,matrix_column,original_demo_index,deletion_frequency
10,0.3,58,87,145,0.511
10,0.3,58,88,146,0.138
10,0.3,58,89,150,0.277
10,0.3,58,90,151,0.284
10,0.3,58,91,152,0.116
10,0.3,58,92,156,0.267
10,0.3,58,93,159,0.151
10,0.3,58,94,160,0.08
10,0.3,58,95,161,0.037
10,0.3,58,96,163,0.211
10,0.3,58,97,164,0.203
10,0.3,58,98,166,0.442
10,0.3,58,99,168,0.375
10,0.3,58,100,171,0.225
10,0.3,58,101,172,0.101
10,0.3,58,102,173,0.235
10,0.3,58,103,174,0.292
10,0.3,58,104,175,0.1
10,0.3,58,105,176,0.15
10,0.3,58,106,178,0.166
10,0.3,58,107,179,0.426
10,0.3,58,108,180,0.404
10,0.3,58,109,181,0.084
10,0.3,58,110,183,0.329
10,0.3,58,111,185,0.224
10,0.3,58,112,186,0.22
10,0.3,58,113,187,0.128
10,0.3,58,114,188,0.58
10,0.3,58,115,190,0.209
10,0.3,58,116,191,0.607
10,0.3,58,117,194,0.417
10,0.3,58,118,196,0.046
10,0.3,58,119,197,0.602
10,0.3,58,120,198,0.39
10,0.3,58,121,200,0.227
10,0.3,58,122,201,0.596
10,0.3,58,123,202,0.117
10,0.3,58,124,203,0.14
10,0.3,58,125,204,0.39
10,0.3,58,126,205,0.212
10,0.3,58,127,206,0.155
10,0.3,58,128,208,0.294
10,0.3,58,129,209,0.424
10,0.3,58,130,210,0.281
10,0.3,58,131,211,0.209
10,0.3,58,132,213,0.087
10,0.3,58,133,215,0.221
10,0.3,58,134,216,0.37
10,0.3,58,135,217,0.249
10,0.3,58,136,218,0.303
10,0.3,58,137,219,0.093
10,0.3,58,138,220,0.472
10,0.3,58,139,221,0.486
10,0.3,58,140,222,0.332
10,0.3,58,141,223,0.259
10,0.3,58,142,224,0.596
10,0.3,58,143,225,0.484
10,0.3,58,144,227,0.161
10,0.3,58,145,228,0.242
10,0.3,58,146,230,0.678
10,0.3,58,147,234,0.487
10,0.3,58,148,235,0.4
10,0.3,58,149,236,0.606
10,0.3,58,150,237,0.456
10,0.3,58,151,239,0.42
10,0.3,58,152,242,0.395
10,0.3,58,153,243,0.488
10,0.3,58,154,244,0.391
10,0.3,58,155,247,0.686
10,0.3,58,156,250,0.494
10,0.3,58,157,253,0.294
10,0.3,58,158,254,0.319
10,0.3,58,159,255,0.175
10,0.3,58,160,256,0.524
10,0.3,58,161,257,0.393
10,0.3,58,162,258,0.45
10,0.3,58,163,259,0.378
10,0.3,58,164,260,0.2
10,0.3,58,165,261,0.61
10,0.3,58,166,262,0.382
10,0.3,58,167,263,0.367
10,0.3,58,168,265,0.408
10,0.3,58,169,268,0.148
10,0.3,58,170,269,0.443
10,0.3,58,171,270,0.194
10,0.3,58,172,271,0.596
10,0.3,58,173,272,0.329
10,0.3,58,174,273,0.338
10,0.3,58,175,274,0.313
10,0.3,58,176,275,0.274
10,0.3,58,177,276,0.269
10,0.3,58,178,278,0.201
10,0.3,58,179,279,0.264
10,0.3,58,180,280,0.313
10,0.3,58,181,286,0.182
10,0.3,58,182,287,0.116
10,0.3,58,183,289,0.506
10,0.3,58,184,290,0.602
10,0.3,58,185,291,0.237
10,0.3,58,186,292,0.238
10,0.3,58,187,294,0.256
10,0.3,58,188,296,0.054
10,0.3,58,189,297,0.126
10,0.3,58,190,298,0.132
10,0.3,58,191,299,0.4
25,0.05,10,0,0,0.0
25,0.05,10,1,1,0.0
25,0.05,10,2,3,0.0
25,0.05,10,3,5,0.006
25,0.05,10,4,6,0.0
25,0.05,10,5,7,0.009
25,0.05,10,6,11,0.0
25,0.05,10,7,13,0.0
25,0.05,10,8,15,0.0
25,0.05,10,9,16,0.0
25,0.05,10,10,18,0.002
25,0.05,10,11,19,0.0
25,0.05,10,12,20,0.001
25,0.05,10,13,21,0.0
25,0.05,10,14,27,0.0
25,0.05,10,15,28,0.0
25,0.05,10,16,30,0.0
25,0.05,10,17,31,0.0
25,0.05,10,18,32,0.0
25,0.05,10,19,33,0.018
25,0.05,10,20,34,0.0
25,0.05,10,21,35,0.0
25,0.05,10,22,36,0.0
25,0.05,10,23,37,0.0
25,0.05,10,24,38,0.001
25,0.05,10,25,39,0.0
25,0.05,10,26,41,0.015
25,0.05,10,27,42,0.0
25,0.05,10,28,44,0.008
25,0.05,10,29,45,0.0
25,0.05,10,30,47,0.0
25,0.05,10,31,48,0.0
25,0.05,10,32,50,0.04
25,0.05,10,33,52,0.0
25,0.05,10,34,53,0.0
25,0.05,10,35,55,0.026
