boundary_source,closed_full_input_cycle_residual,episode_id,partition_residual,root_family_id,segment_return_sum,split,whole_return_phi_last_minus_phi_first
best_causal,not_measured,formal_u2_family_105_r00,0.0,u2_family_105,0.6559093445539474,test,0.6559093445539474
best_rule,not_measured,formal_u2_family_105_r00,0.0,u2_family_105,0.6559093445539474,test,0.6559093445539474
uniform,not_measured,formal_u2_family_105_r00,0.0,u2_family_105,0.6559093445539474,test,0.6559093445539474
best_budget,not_measured,formal_u2_family_105_r00,0.0,u2_family_105,0.6559093445539474,test,0.6559093445539474
gold,not_measured,formal_u2_family_105_r01,0.0,u2_family_105,0.6585789173841476,test,0.6585789173841476
best_causal,not_measured,formal_u2_family_105_r01,0.0,u2_family_105,0.6585789173841476,test,0.6585789173841476
best_rule,not_measured,formal_u2_family_105_r01,0.0,u2_family_105,0.6585789173841476,test,0.6585789173841476
uniform,not_measured,formal_u2_family_105_r01,0.0,u2_family_105,0.6585789173841476,test,0.6585789173841476
best_budget,not_measured,formal_u2_family_105_r01,0.0,u2_family_105,0.6585789173841476,test,0.6585789173841476
gold,not_measured,formal_u2_family_105_r02,0.0,u2_family_105,0.6580515503883362,test,0.6580515503883362
best_causal,not_measured,formal_u2_family_105_r02,0.0,u2_family_105,0.6580515503883362,test,0.6580515503883362
best_rule,not_measured,formal_u2_family_105_r02,0.0,u2_family_105,0.6580515503883362,test,0.6580515503883362
uniform,not_measured,formal_u2_family_105_r02,0.0,u2_family_105,0.6580515503883362,test,0.6580515503883362
best_budget,not_measured,formal_u2_family_105_r02,0.0,u2_family_105,0.6580515503883362,test,0.6580515503883362
gold,not_measured,formal_u2_family_105_r03,0.0,u2_family_105,0.6550773680210114,test,0.6550773680210114
best_causal,not_measured,formal_u2_family_105_r03,0.0,u2_family_105,0.6550773680210114,test,0.6550773680210114
best_rule,not_measured,formal_u2_family_105_r03,0.0,u2_family_105,0.6550773680210114,test,0.6550773680210114
uniform,not_measured,formal_u2_family_105_r03,0.0,u2_family_105,0.6550773680210114,test,0.6550773680210114
best_budget,not_measured,formal_u2_family_105_r03,0.0,u2_family_105,0.6550773680210114,test,0.6550773680210114
gold,not_measured,formal_u2_family_105_r04,0.0,u2_family_105,0.6574665009975433,test,0.6574665009975433
best_causal,not_measured,formal_u2_family_105_r04,0.0,u2_family_105,0.6574665009975433,test,0.6574665009975433
best_rule,not_measured,formal_u2_family_105_r04,0.0,u2_family_105,0.6574665009975433,test,0.6574665009975433
uniform,not_measured,formal_u2_family_105_r04,0.0,u2_family_105,0.6574665009975433,test,0.6574665009975433
best_budget,not_measured,formal_u2_family_105_r04,0.0,u2_family_105,0.6574665009975433,test,0.6574665009975433
gold,not_measured,formal_u2_family_105_r05,0.0,u2_family_105,0.6587270498275757,test,0.6587270498275757
best_causal,not_measured,formal_u2_family_105_r05,0.0,u2_family_105,0.6587270498275757,test,0.6587270498275757
best_rule,not_measured,formal_u2_family_105_r05,0.0,u2_family_105,0.6587270498275757,test,0.6587270498275757
uniform,not_measured,formal_u2_family_105_r05,0.0,u2_family_105,0.6587270498275757,test,0.6587270498275757
best_budget,not_measured,formal_u2_family_105_r05,0.0,u2_family_105,0.6587270498275757,test,0.6587270498275757
gold,not_measured,formal_u2_family_106_r00,0.0,u2_family_106,-0.308729350566864,test,-0.308729350566864
best_causal,not_measured,formal_u2_family_106_r00,0.0,u2_family_106,-0.308729350566864,test,-0.308729350566864
best_rule,not_measured,formal_u2_family_106_r00,0.0,u2_family_106,-0.308729350566864,test,-0.308729350566864
uniform,not_measured,formal_u2_family_106_r00,0.0,u2_family_106,-0.308729350566864,test,-0.308729350566864
best_budget,not_measured,formal_u2_family_106_r00,0.0,u2_family_106,-0.308729350566864,test,-0.308729350566864
gold,not_measured,formal_u2_family_106_r01,0.0,u2_family_106,-0.3093876838684082,test,-0.3093876838684082
best_causal,not_measured,formal_u2_family_106_r01,0.0,u2_family_106,-0.3093876838684082,test,-0.3093876838684082
best_rule,not_measured,formal_u2_family_106_r01,0.0,u2_family_106,-0.3093876838684082,test,-0.3093876838684082
uniform,not_measured,formal_u2_family_106_r01,0.0,u2_family_106,-0.3093876838684082,test,-0.3093876838684082
best_budget,not_measured,formal_u2_family_106_r01,0.0,u2_family_106,-0.3093876838684082,test,-0.3093876838684082
gold,not_measured,formal_u2_family_106_r02,0.0,u2_family_106,-0.30915358662605286,test,-0.30915358662605286
best_causal,not_measured,formal_u2_family_106_r02,0.0,u2_family_106,-0.30915358662605286,test,-0.30915358662605286
best_rule,not_measured,formal_u2_family_106_r02,0.0,u2_family_106,-0.30915358662605286,test,-0.30915358662605286
uniform,not_measured,formal_u2_family_106_r02,0.0,u2_family_106,-0.30915358662605286,test,-0.30915358662605286
best_budget,not_measured,formal_u2_family_106_r02,0.0,u2_family_106,-0.30915358662605286,test,-0.30915358662605286
gold,not_measured,formal_u2_family_106_r03,0.0,u2_family_106,-0.3094206750392914,test,-0.3094206750392914
best_causal,not_measured,formal_u2_family_106_r03,0.0,u2_family_106,-0.3094206750392914,test,-0.3094206750392914
best_rule,not_measured,formal_u2_family_106_r03,0.0,u2_family_106,-0.3094206750392914,test,-0.3094206750392914
uniform,not_measured,formal_u2_family_106_r03,0.0,u2_family_106,-0.3094206750392914,test,-0.3094206750392914
best_budget,not_measured,formal_u2_family_106_r03,0.0,u2_family_106,-0.3094206750392914,test,-0.3094206750392914
gold,not_measured,formal_u2_family_106_r04,0.0,u2_family_106,-0.3096952438354492,test,-0.3096952438354492
best_causal,not_measured,formal_u2_family_106_r04,0.0,u2_family_106,-0.3096952438354492,test,-0.3096952438354492
best_rule,not_measured,formal_u2_family_106_r04,0.0,u2_family_106,-0.3096952438354492,test,-0.3096952438354492
uniform,not_measured,formal_u2_family_106_r04,0.0,u2_family_106,-0.3096952438354492,test,-0.3096952438354492
best_budget,not_measured,formal_u2_family_106_r04,0.0,u2_family_106,-0.3096952438354492,test,-0.3096952438354492
gold,not_measured,formal_u2_family_106_r05,0.0,u2_family_106,-0.30993539094924927,test,-0.30993539094924927
best_causal,not_measured,formal_u2_family_106_r05,0.0,u2_family_106,-0.30993539094924927,test,-0.30993539094924927
best_rule,not_measured,formal_u2_family_106_r05,0.0,u2_family_106,-0.30993539094924927,test,-0.30993539094924927
uniform,not_measured,formal_u2_family_106_r05,0.0,u2_family_106,-0.30993539094924927,test,-0.30993539094924927
best_budget,not_measured,formal_u2_family_106_r05,0.0,u2_family_106,-0.30993539094924927,test,-0.30993539094924927
gold,not_measured,formal_u2_family_107_r00,0.0,u2_family_107,0.5794970095157623,test,0.5794970095157623
best_causal,not_measured,formal_u2_family_107_r00,0.0,u2_family_107,0.5794970095157623,test,0.5794970095157623
best_rule,not_measured,formal_u2_family_107_r00,0.0,u2_family_107,0.5794970095157623,test,0.5794970095157623
uniform,not_measured,formal_u2_family_107_r00,0.0,u2_family_107,0.5794970095157623,test,0.5794970095157623
best_budget,not_measured,formal_u2_family_107_r00,0.0,u2_family_107,0.5794970095157623,test,0.5794970095157623
gold,not_measured,formal_u2_family_107_r01,0.0,u2_family_107,0.5781010985374451,test,0.5781010985374451
best_causal,not_measured,formal_u2_family_107_r01,0.0,u2_family_107,0.5781010985374451,test,0.5781010985374451
