case_id,split,seed,target_x,target_y,interferer_x,interferer_y,dx,dy,abs_dx,abs_dy,aabb_overlap_x,aabb_overlap_y,aabb_overlap,classification,source_sha256
T_C_train_58,train,3158,-0.05463410683895259,-0.0666875612478311,-0.024898156226008872,-0.043028033755833875,0.029735950612943717,0.02365952749199722,0.029735950612943717,0.02365952749199722,0.010264049387056284,0.01634047250800278,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_59,train,3159,-0.14223059271932328,-0.02920320146604552,-0.10774776302842906,-0.013236534421581188,0.03448282969089422,0.015966667044464332,0.03448282969089422,0.015966667044464332,0.0055171703091057775,0.02403333295553567,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_60,train,3160,-0.20300739267557277,-0.13127406968188207,-0.17123473627165478,-0.11042944675320887,0.03177265640391799,0.0208446229286732,0.03177265640391799,0.0208446229286732,0.008227343596082008,0.0191553770713268,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_61,train,3161,-0.09541700207129926,-0.02092251472643522,-0.061588144176622235,-0.0036133156247509512,0.033828857894677024,0.01730919910168427,0.033828857894677024,0.01730919910168427,0.006171142105322977,0.02269080089831573,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_62,train,3162,-0.11295188547818505,-0.09359696625979447,-0.08224691159268596,-0.07120936748969812,0.030704973885499087,0.022387598770096342,0.030704973885499087,0.022387598770096342,0.009295026114500914,0.01761240122990366,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_63,train,3163,-0.17709365883198713,-0.1758913649959683,-0.14783339352839295,-0.15164601751726053,0.029260265303594185,0.02424534747870777,0.029260265303594185,0.02424534747870777,0.010739734696405816,0.015754652521292233,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_dev_00,dev,7100,-0.031063761886254232,-0.17407395533176803,-0.008906494183909208,-0.14320235854820956,0.022157267702345024,0.03087159678355847,0.022157267702345024,0.03087159678355847,0.017842732297654977,0.009128403216441532,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_dev_01,dev,7101,-0.17305182266802155,-0.17334753798444172,-0.14382433612879647,-0.1490626861092621,0.029227486539225078,0.02428485187517962,0.029227486539225078,0.02428485187517962,0.010772513460774923,0.01571514812482038,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_dev_02,dev,7102,-0.10936786569675369,-0.12245587835489508,-0.08024070836982668,-0.09805078245153011,0.029127157326927014,0.024405095903364968,0.029127157326927014,0.024405095903364968,0.010872842673072987,0.015594904096635033,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_dev_03,dev,7103,-0.08552801078473662,-0.054576192445780825,-0.053775942786810776,-0.03370022114250747,0.03175206799792585,0.020875971303273358,0.03175206799792585,0.020875971303273358,0.008247932002074153,0.019124028696726643,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_dev_04,dev,7104,-0.15838077442649076,-0.09935970649002303,-0.1264946312357225,-0.07868910242488206,0.03188614319076827,0.02067060406514097,0.03188614319076827,0.02067060406514097,0.008113856809231733,0.01932939593485903,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_dev_05,dev,7105,-0.2015573351146037,-0.15980670283077347,-0.17091386830737496,-0.13733498856518458,0.030643466807228736,0.022471714265588888,0.030643466807228736,0.022471714265588888,0.009356533192771264,0.017528285734411113,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_dev_06,dev,7106,-0.032375807863433914,-0.1568463025853798,-0.009246700826770066,-0.12669593927601738,0.02312910703666385,0.03015036330936241,0.02312910703666385,0.03015036330936241,0.016870892963336152,0.00984963669063759,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
