rollout_id,capture_order,time,phase,action,physics_step_index,capture_kind,action_end,camera_jitter_deg,frame_missing,frame_missing_reason,dropout_requested_offset_s,dropout_actual_offset_s,raw_rgb_sha256,jpeg_sha256,jpeg_path,physical_time_ns
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,54,2.4499999999999917,observation,observe,245,periodic,False,0.0,False,,,,a02f8cb40b3311f8bd4908aa7d6ab3250d98126a00efcab27ef2064288146143,9cf201cf819f68c8866bfac3773d0c01177a313ee88c5d15bc6b3d879efbf2e5,online_raw/rgb/front/000054.jpg,2450000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,55,2.4999999999999907,observation,observe,250,periodic,False,0.0,False,,,,345427ae8555044737a9c2e61c4fc56549751114cd01cded420863b7d86c5290,12889e5e4bd513637bcb7e9e8b289d5952a50c6a8654fc813e3d024cfc0d731e,online_raw/rgb/front/000055.jpg,2500000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,56,2.5499999999999896,observation,observe,255,periodic,False,0.0,False,,,,4c9b66168f8a6af062968fcdcd47f3ec01f24af4c63b40577cfd4cd53beeb987,0b62978001f9fb738892ae7b355a9df10ff88bfc300faafc1758ad93fa62ed4f,online_raw/rgb/front/000056.jpg,2550000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,57,2.5999999999999885,observation,observe,260,periodic,False,0.0,False,,,,72ae3e439796d1cdf5146aba5dce7e684822fe16f5976769642021137f521533,ff746fadb3d9e84c7dff1314921050b833bb6f62917d6654e0a24058d1ffc8e0,online_raw/rgb/front/000057.jpg,2600000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,58,2.6499999999999875,observation,observe,265,periodic,False,0.0,False,,,,377412d2f32aa78b47a736e1c26a77f12bb87978e28538ce6da5c5e6c9560199,f619585d8a66c636d144b9fdfbedc0f65ee0ad4287b515f2b69b5f4e57a5552e,online_raw/rgb/front/000058.jpg,2650000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,59,2.6999999999999864,observation,observe,270,periodic,False,0.0,False,,,,36ce7714dff1c7123dfd581d2e1c53603d55ba95c45bd20bc45c0c076e51b98b,0da55369cce4f2a17bbc4798ac9d8c6bd37dbdfa450188423678cad725ff43cd,online_raw/rgb/front/000059.jpg,2700000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,60,2.7399999999999856,observation,observe,274,action_end,True,0.0,False,,,,899218fc7c1afc9f433466ca16ac5482c39d648650158c70e67ec3b0a6c628e3,d8a9be523ea5acd62087e09f653ca2605ea342138376ad28d17b798d1eefffaa,online_raw/rgb/front/000060.jpg,2740000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,0,0.0,initial,,0,action_end,True,0.0,False,,,,bfc08a04e3b8a879d9559ed7248b0be5f9ff987d5195e0dfeafb6754b03fb5cf,86f8c4563d16ebaecc56cc7e76c62ada6128772c5fb9367644bb99bedb12d8dc,online_raw/rgb/front/000000.jpg,0
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,1,0.05,approach_object,approach_object,5,periodic,False,0.0,False,,,,37e3c99a75c9e221ceb2ae141f4c10360631d97b4e2c3079860b3e499320acb6,e61f6249e44620e61c3e071d015ca329f177a3089ddef8e4c5c1fc2d78c7392a,online_raw/rgb/front/000001.jpg,50000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,2,0.09999999999999999,approach_object,approach_object,10,periodic,False,0.0,False,,,,50138fbcece9761404c858e11a007f8ffc141344b667b1ac8d8d1dc231bfce3b,95be33b093a37dfccd77f762992bbf0c5ebc5a38dd64f0004ef6d8594ac953a5,online_raw/rgb/front/000002.jpg,100000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,3,0.15,approach_object,approach_object,15,periodic,False,0.0,False,,,,d95cbc6cc69b0faf32df060dc465c12a74d46c90bac22fbfcaf75c7025b95aaf,5c0aeeba714a80f0d377f0a9f0629e05092aaff6bf66a1ba16e27f2e92ab608b,online_raw/rgb/front/000003.jpg,150000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,4,0.20000000000000004,approach_object,approach_object,20,periodic,False,0.0,False,,,,1fb7a27458fafaaf62b7b2f3be7cb9d505aebe37fd698ac12ebcc00fed941926,64c30cef9767b95f30635138870c60a4372d17f1825948050526dd1346aedd2a,online_raw/rgb/front/000004.jpg,200000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,5,0.20000000000000004,approach_object,approach_object,20,action_end,True,0.0,False,,,,1fb7a27458fafaaf62b7b2f3be7cb9d505aebe37fd698ac12ebcc00fed941926,64c30cef9767b95f30635138870c60a4372d17f1825948050526dd1346aedd2a,online_raw/rgb/front/000005.jpg,200000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,6,0.25000000000000006,close_gripper,close_gripper,25,periodic,False,0.0,False,,,,250e4ae6a95c950fd32a8b4a80c934ee2ae5ee549b2e2a4018c8d5120a22e74f,05c603c04bbc47044a9136a4eb4a06b0d66fb5686537755999d03e1f55e1b780,online_raw/rgb/front/000006.jpg,250000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,7,0.3000000000000001,close_gripper,close_gripper,30,periodic,False,0.0,False,,,,9188d41b7bbe8d26024a25d14a1dc9aaae4ccfca32adf72a2fd57181250f8ddc,c1b8f95e6f4f59f43825fda101d0d8ed57a16b0682ad4377dfb7194f1793a45b,online_raw/rgb/front/000007.jpg,300000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,8,0.3000000000000001,close_gripper,close_gripper,30,action_end,True,0.0,False,,,,9188d41b7bbe8d26024a25d14a1dc9aaae4ccfca32adf72a2fd57181250f8ddc,c1b8f95e6f4f59f43825fda101d0d8ed57a16b0682ad4377dfb7194f1793a45b,online_raw/rgb/front/000008.jpg,300000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,9,0.35000000000000014,lift,lift,35,periodic,False,0.0,False,,,,76116d7d2dda10df79a553ef5dd5c02d2d5c3efc6846dbe97d9153ca0840eb51,1614b8091cd8bd8dd21c2ae0f8851ee9ee03265665379aab492f23ccc395a494,online_raw/rgb/front/000009.jpg,350000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,10,0.4000000000000002,lift,lift,40,periodic,False,0.0,False,,,,a9126afd9f972a2d5060e7750eafa32b1d649a74c882ca9a7d0ce6937bb97c33,0338b91edd24e5653bc5202db2f577cc4df4dd211fb738c3bf142d4ba445ecf6,online_raw/rgb/front/000010.jpg,400000000
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,11,0.45000000000000023,lift,lift,45,periodic,False,0.0,False,,,,34509ef237de1644fdbbe0b7682ceb4e542fd0163fcd2421de58a52fe3d7947b,d797fb5a11443c0b44080b7647117b0e740d395dc61c099da661823ea84cc334,online_raw/rgb/front/000011.jpg,450000000
