config_id,lambda,eta,beta,confidence,oracle_path_normalized_gap,oracle_positive_loop_rate,oracle_loop_return_mean,oracle_loop_return_p95,oracle_stagnation_positive_rate,oracle_terminal_hold_abs_mean,failure_negative_rate,recovery_positive_rate,recovery_cycle_nonpositive_rate,forward_positive_rate,recovery_positive_weight_coverage,success_return_auroc,success_return_spearman,success_minus_failure_return_margin,reward_nonzero_rate,reward_lcb_mean,uncertainty_penalty_mean,fixed_order_score_drop
cfg_037,0.25,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.9998632712262894,-0.3923372849905154,0.8775510204081632,-0.0043645362191759105,0.017516102931074674,0.0
cfg_038,0.25,0.0,1.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.9999024385606632,-0.6962174759651858,0.9795918367346939,-0.012703985775089851,0.02717368135670726,0.0
cfg_039,0.25,0.0,1.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.999888833164314,-0.6771302483583148,0.8775510204081632,-0.013122587684713253,0.02627415439661204,0.0
cfg_040,0.25,0.05,0.0,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999874061078,9.288062028866278,1.0,-1.1792791236988778,0.0,0.0
cfg_041,0.25,0.05,0.0,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999837380844,9.156696944466518,0.992797118847539,-1.1550701846168479,0.0,0.0
cfg_042,0.25,0.05,0.5,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999264004832,9.31461826577609,1.0,-1.18202691897675,0.009057893785569078,0.0
cfg_043,0.25,0.05,0.5,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999307954689,9.15796111767446,0.992797118847539,-1.1581852508891959,0.008758051465537337,0.0
cfg_044,0.25,0.05,1.0,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999998022996848,9.341174502685874,1.0,-1.1847747142546217,0.018115787571138155,0.0
cfg_045,0.25,0.05,1.0,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999998319276552,9.15922529088246,0.992797118847539,-1.161300317161542,0.017516102931074674,0.0
cfg_046,0.25,0.05,1.5,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999995828226997,9.367292948322216,1.0,-1.1874976820678498,0.02717368135670726,0.0
cfg_047,0.25,0.05,1.5,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999996596501499,9.160051672816962,0.992797118847539,-1.1643905559692453,0.02627415439661204,0.0
