family_id,case_id,method,rollout,positive,physical_loss,signal_exposed,max_z,contact_false_count,prehold_count,prehold_noise,object_scale,anchor_x,anchor_y
L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__RECOVERY_DISABLED,False,False,False,6398.017322880126,0,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,False,True,True,123070.02530704092,86,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_RAW,False,True,True,123070.02530704092,86,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__RECOVERY_DISABLED,False,True,True,123070.02530704092,4,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,False,True,True,123070.02530704092,17,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_RAW,False,True,True,123070.02530704092,17,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__RECOVERY_DISABLED,False,True,True,123070.02530704092,4,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,True,True,123070.02530704092,72,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_RAW,False,True,True,123070.02530704092,72,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__RECOVERY_DISABLED,False,True,True,123070.02530704092,4,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,False,True,True,190.3956695644522,2,3,0.006436867320048769,6.90988298942671,0.0023758612496891374,10.339347826086964
L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_RAW,False,True,True,47.492681904981,1,3,0.01999444293712988,6.90988298942671,-0.06144927536232103,10.350558213716106
L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__RECOVERY_DISABLED,False,True,True,12176.568702432252,2,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,True,True,False,12365.164599839458,0,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_RAW,False,True,False,12365.164599839458,0,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__RECOVERY_DISABLED,False,True,False,12365.164599839458,0,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,False,True,True,6165.4793807165215,1,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_RAW,False,True,True,25.338096217800118,1,3,0.02434766685271576,6.90988298942671,0.0023758612496891374,10.433172962698976
L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__RECOVERY_DISABLED,False,True,True,6165.4793807165215,1,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,True,True,False,12365.164599839458,15,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_RAW,False,True,False,12365.164599839458,15,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,False,True,False,12365.164599839458,15,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,False,False,False,4912.08522495651,0,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C5_active_release_conflict,O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__O_C3_RAW,False,False,False,4912.08522495651,0,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C5_active_release_conflict,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__RECOVERY_DISABLED,False,False,False,4912.08522495651,0,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,False,True,True,31459.55736544692,82,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__O_C3_RAW,False,True,True,31459.55736544692,81,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
L2RAR2_R24_BOUNDARY_03_896003,R24C6_relocation_error,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__RECOVERY_DISABLED,False,True,True,4912.08522495651,2,2,0.0001,6.938614435555441,-0.029536707056315947,10.38626039439297
