episodes,error_sum,estimability,event,event_id,f1,fn,fp,mae,matched_count,model,precision,recall,split,tolerance,tp
108,0.0,estimable,goal_enter,7,0.4324324324324324,63,0,0.0,24,uniform_00,1.0,0.27586206896551724,test,2,24
108,0.0,estimable,stable_success,8,,87,0,,0,uniform_00,,0.0,test,2,0
108,0.0,estimable,terminal_failure,9,0.13793103448275862,19,6,0.0,2,uniform_00,0.25,0.09523809523809523,test,2,2
108,0.0,estimable,stagnation_onset,10,0.09999999999999999,17,1,0.0,1,uniform_00,0.5,0.05555555555555555,test,2,1
108,0.0,estimable,contact_on,1,0.9863013698630138,0,3,0.0,108,boundary_model:causal_weak_only_s621,0.972972972972973,1.0,val,1,108
108,0.0,estimable,transport_on,2,,108,0,,0,boundary_model:causal_weak_only_s621,,0.0,val,1,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s621,1.0,1.0,val,1,25
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s621,1.0,1.0,val,1,25
108,0.0,estimable,contact_reestablished,5,0.888888888888889,3,2,0.0,20,boundary_model:causal_weak_only_s621,0.9090909090909091,0.8695652173913043,val,1,20
108,3.0,estimable,detour_start,6,0.028571428571428574,56,148,1.0,3,boundary_model:causal_weak_only_s621,0.019867549668874173,0.05084745762711865,val,1,3
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,88,boundary_model:causal_weak_only_s621,1.0,1.0,val,1,88
108,0.0,estimable,stable_success,8,,88,0,,0,boundary_model:causal_weak_only_s621,,0.0,val,1,0
108,0.0,estimable,terminal_failure,9,0.375,2,58,0.0,18,boundary_model:causal_weak_only_s621,0.23684210526315788,0.9,val,1,18
108,0.0,estimable,stagnation_onset,10,,15,0,,0,boundary_model:causal_weak_only_s621,,0.0,val,1,0
108,0.0,estimable,contact_on,1,0.9863013698630138,0,3,0.0,108,boundary_model:causal_weak_only_s621,0.972972972972973,1.0,val,2,108
108,0.0,estimable,transport_on,2,,108,0,,0,boundary_model:causal_weak_only_s621,,0.0,val,2,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s621,1.0,1.0,val,2,25
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s621,1.0,1.0,val,2,25
108,0.0,estimable,contact_reestablished,5,0.888888888888889,3,2,0.0,20,boundary_model:causal_weak_only_s621,0.9090909090909091,0.8695652173913043,val,2,20
108,9.0,estimable,detour_start,6,0.05714285714285715,53,145,1.5,6,boundary_model:causal_weak_only_s621,0.039735099337748346,0.1016949152542373,val,2,6
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,88,boundary_model:causal_weak_only_s621,1.0,1.0,val,2,88
108,0.0,estimable,stable_success,8,,88,0,,0,boundary_model:causal_weak_only_s621,,0.0,val,2,0
