pair_id,side,action,name
1310000_slot13,left,25,ACQUIRE_4
1310000_slot13,left,26,ADVANCE_4
1310000_slot13,left,27,PLACE_4
1310000_slot13,left,28,START_RECOVERY_4
1310000_slot13,left,29,REGRASP_4
1310000_slot13,left,30,RELEASE_4
1310000_slot13,left,31,ACQUIRE_5
1310000_slot13,left,32,ADVANCE_5
1310000_slot13,left,33,PLACE_5
1310000_slot13,left,34,START_RECOVERY_5
1310000_slot13,left,35,REGRASP_5
1310000_slot13,left,36,RELEASE_5
1310000_slot14,left,1,ACQUIRE_0
1310000_slot14,left,3,PLACE_0
1310000_slot14,left,4,START_RECOVERY_0
1310000_slot14,left,5,REGRASP_0
1310000_slot14,left,7,ACQUIRE_1
1310000_slot14,left,8,ADVANCE_1
1310000_slot14,left,9,PLACE_1
1310000_slot14,left,10,START_RECOVERY_1
1310000_slot14,left,11,REGRASP_1
1310000_slot14,left,12,RELEASE_1
1310000_slot14,left,13,ACQUIRE_2
1310000_slot14,left,14,ADVANCE_2
1310000_slot14,left,15,PLACE_2
1310000_slot14,left,16,START_RECOVERY_2
1310000_slot14,left,17,REGRASP_2
1310000_slot14,left,18,RELEASE_2
1310000_slot14,left,19,ACQUIRE_3
1310000_slot14,left,20,ADVANCE_3
1310000_slot14,left,21,PLACE_3
1310000_slot14,left,22,START_RECOVERY_3
1310000_slot14,left,23,REGRASP_3
1310000_slot14,left,24,RELEASE_3
1310000_slot14,left,25,ACQUIRE_4
1310000_slot14,left,26,ADVANCE_4
1310000_slot14,left,27,PLACE_4
1310000_slot14,left,28,START_RECOVERY_4
1310000_slot14,left,29,REGRASP_4
1310000_slot14,left,30,RELEASE_4
1310000_slot14,left,31,ACQUIRE_5
1310000_slot14,left,32,ADVANCE_5
1310000_slot14,left,33,PLACE_5
1310000_slot14,left,34,START_RECOVERY_5
1310000_slot14,left,35,REGRASP_5
1310000_slot14,left,36,RELEASE_5
1310000_slot15,left,2,ADVANCE_0
1310000_slot15,left,3,PLACE_0
1310000_slot15,left,4,START_RECOVERY_0
1310000_slot15,left,5,REGRASP_0
1310000_slot15,left,6,RELEASE_0
1310000_slot15,left,8,ADVANCE_1
1310000_slot15,left,9,PLACE_1
1310000_slot15,left,10,START_RECOVERY_1
1310000_slot15,left,11,REGRASP_1
1310000_slot15,left,12,RELEASE_1
1310000_slot15,left,13,ACQUIRE_2
1310000_slot15,left,14,ADVANCE_2
1310000_slot15,left,15,PLACE_2
1310000_slot15,left,16,START_RECOVERY_2
1310000_slot15,left,17,REGRASP_2
1310000_slot15,left,18,RELEASE_2
1310000_slot15,left,19,ACQUIRE_3
1310000_slot15,left,20,ADVANCE_3
1310000_slot15,left,21,PLACE_3
1310000_slot15,left,22,START_RECOVERY_3
1310000_slot15,left,23,REGRASP_3
1310000_slot15,left,24,RELEASE_3
1310000_slot15,left,25,ACQUIRE_4
1310000_slot15,left,26,ADVANCE_4
1310000_slot15,left,27,PLACE_4
1310000_slot15,left,28,START_RECOVERY_4
1310000_slot15,left,29,REGRASP_4
1310000_slot15,left,30,RELEASE_4
1310000_slot15,left,31,ACQUIRE_5
1310000_slot15,left,32,ADVANCE_5
1310000_slot15,left,33,PLACE_5
1310000_slot15,left,34,START_RECOVERY_5
1310000_slot15,left,35,REGRASP_5
1310000_slot15,left,36,RELEASE_5
1310001_slot00,left,2,ADVANCE_0
1310001_slot00,left,3,PLACE_0
1310001_slot00,left,4,START_RECOVERY_0
1310001_slot00,left,5,REGRASP_0
1310001_slot00,left,6,RELEASE_0
1310001_slot00,left,8,ADVANCE_1
1310001_slot00,left,9,PLACE_1
1310001_slot00,left,10,START_RECOVERY_1
1310001_slot00,left,11,REGRASP_1
1310001_slot00,left,12,RELEASE_1
1310001_slot00,left,13,ACQUIRE_2
1310001_slot00,left,14,ADVANCE_2
1310001_slot00,left,15,PLACE_2
1310001_slot00,left,16,START_RECOVERY_2
1310001_slot00,left,17,REGRASP_2
1310001_slot00,left,18,RELEASE_2
1310001_slot00,left,19,ACQUIRE_3
1310001_slot00,left,20,ADVANCE_3
1310001_slot00,left,21,PLACE_3
1310001_slot00,left,22,START_RECOVERY_3
