repeat,method,stop_budget,stopped_early,bottom_jaccard,bottom_overlap,bottom_mistakes,bootstrap_q10_jaccard,ambiguous_count
52,naive_consecutive,55,True,0.6888888888888889,31,7,0.4339622641509434,41
52,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,47
52,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,47
52,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,47
53,naive_consecutive,70,True,0.6521739130434783,30,8,0.46153846153846156,45
53,bootstrap_permissive,100,False,1.0,38,0,0.48733031674208144,44
53,bootstrap_balanced,100,False,1.0,38,0,0.48733031674208144,44
53,bootstrap_conservative,100,False,1.0,38,0,0.48733031674208144,44
54,naive_consecutive,55,True,0.5833333333333334,28,10,0.4074074074074074,49
54,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,45
54,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,45
54,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,45
55,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,46
55,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,46
55,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,46
55,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,46
56,naive_consecutive,65,True,0.6170212765957447,29,9,0.4074074074074074,49
56,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,44
56,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,44
56,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,44
57,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,46
57,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,46
57,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,46
57,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,46
58,naive_consecutive,80,True,0.7674418604651163,33,5,0.38181818181818183,63
58,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,45
58,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,45
58,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,45
59,naive_consecutive,50,True,0.5833333333333334,28,10,0.4074074074074074,55
59,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,44
59,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,44
59,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,44
